,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
8048,Dexters Logistics,3.5,Logistics,51-200 Employees,Data missing,13 years old,Pune +20 more,Data missing,Data missing
8049,Shah Alloys,3.5,Iron & Steel,1k-5k Employees,Public,33 years old,Ahmedabad +4 more,Data missing,Promotions / Appraisal
8050,CREW(P)LTD,4.1,Industrial Machinery,10k-50k Employees,Data missing,39 years old,Chennai +11 more,"Company Culture, Job Security, Work Satisfaction",Data missing
8051,National Australia Bank,3.2,Banking,1k-5k Employees,Data missing,Data missing,Docklands +3 more,Data missing,"Promotions / Appraisal, Work Satisfaction"
8052,NSHM Knowledge Campus,3.6,Education & Training,51-200 Employees,Data missing,27 years old,Kolkata +2 more,Data missing,Promotions / Appraisal
8053,Teamglobal Logistics,3.9,Logistics,201-500 Employees,Data missing,18 years old,Mumbai +13 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
8054,Yoma Multinational Solutions,4,Recruitment,51-200 Employees,Data missing,11 years old,Gurugram +20 more,"Work Life Balance, Salary & Benefits, Skill Development / Learning",Data missing
8055,Vasant Masala,3.9,Retail,51-200 Employees,Data missing,53 years old,Ahmedabad +16 more,"Company Culture, Salary & Benefits, Skill Development / Learning",Data missing
8056,4I Apps Solutions,4.1,IT Services & Consulting,201-500 Employees,Data missing,15 years old,Chennai,"Skill Development / Learning, Job Security, Work Satisfaction",Data missing
8057,Golcha Associated Group,3.9,Metals & Mining,1k-5k Employees,Data missing,68 years old,Jaipur +9 more,Data missing,Data missing
8058,Garuda Polyflex Foods,3.9,FMCG,501-1k Employees,Data missing,11 years old,Bangalore/Bengaluru +15 more,"Company Culture, Work Life Balance, Work Satisfaction",Data missing
8059,Assam down town University,2.8,Education & Training,201-500 Employees,Data missing,13 years old,Guwahati,Data missing,"Work Satisfaction, Salary & Benefits, Company Culture"
8060,Being human,4.3,Fashion & Textile,51-200 Employees,Data missing,16 years old,Mumbai +20 more,"Job Security, Work Satisfaction, Work Life Balance",Data missing
